policy_id,insurer_id,policy_type_id,coverage_type_id,policy_year,start_date,end_date,premium_amount,policy_status
52,6,5,3,2023,2023-06-06,2024-06-05,7623691,Renewed
53,6,5,7,2023,2022-05-18,2023-05-18,18568538,Renewed
54,5,9,6,2022,2025-09-26,2026-09-26,7865417,Renewed
55,5,3,4,2022,2023-04-14,2024-04-13,12232608,Expired
56,6,5,3,2022,2026-02-20,2027-02-20,19979208,Active
57,4,11,3,2022,2024-12-02,2025-12-02,9516413,Renewed
58,4,8,3,2022,2024-11-27,2025-11-27,10753036,Expired
59,2,6,2,2024,2023-12-20,2024-12-19,3081432,Renewed
60,2,6,1,2022,2022-05-16,2023-05-16,9205390,Active
61,5,1,5,2024,2024-02-16,2025-02-15,1555871,Renewed
62,6,10,6,2024,2024-11-16,2025-11-16,2539941,Renewed
63,6,4,2,2022,2024-01-07,2025-01-06,13344737,Renewed
64,5,5,4,2024,2024-09-25,2025-09-25,14994273,Expired
65,1,2,4,2024,2024-02-26,2025-02-25,775424,Renewed
66,5,11,6,2024,2023-02-11,2024-02-11,14682233,Active
67,5,4,3,2025,2024-01-06,2025-01-05,16649683,Active
68,1,8,1,2024,2024-01-22,2025-01-21,11292857,Renewed
69,3,8,5,2024,2024-11-02,2025-11-02,10673814,Active
70,2,8,4,2023,2024-02-02,2025-02-01,12115560,Expired
71,6,2,5,2023,2022-07-19,2023-07-19,2974539,Renewed
72,4,9,5,2024,2024-01-20,2025-01-19,14218793,Renewed
73,6,10,7,2025,2023-03-13,2024-03-12,12447180,Active
74,5,3,5,2022,2023-08-26,2024-08-25,10649042,Expired
75,6,2,3,2025,2024-09-10,2025-09-10,2777418,Renewed
76,1,5,2,2023,2024-03-25,2025-03-25,6916568,Expired
77,2,12,4,2024,2025-03-05,2026-03-05,10074128,Active
78,4,4,4,2023,2022-08-31,2023-08-31,13215526,Expired
79,2,5,6,2022,2025-01-16,2026-01-16,18439407,Active
80,1,10,4,2022,2022-08-18,2023-08-18,7936268,Renewed
81,2,2,5,2025,2024-03-12,2025-03-12,2204127,Active
82,1,3,1,2022,2022-08-12,2023-08-12,7150552,Expired
83,5,10,5,2022,2024-01-06,2025-01-05,9677513,Expired
84,3,6,3,2024,2024-03-09,2025-03-09,6414822,Active
85,6,7,5,2024,2026-03-24,2027-03-24,13302170,Active
86,5,7,1,2024,2024-09-27,2025-09-27,14670771,Renewed
87,6,7,5,2025,2024-06-30,2025-06-30,4174843,Expired
88,3,1,4,2024,2024-12-13,2025-12-13,2022072,Expired
89,1,7,1,2025,2024-03-23,2025-03-23,3574757,Renewed
90,3,2,3,2025,2023-10-06,2024-10-05,3478050,Expired
91,3,1,3,2023,2024-09-11,2025-09-11,1533260,Active
92,5,3,2,2025,2025-05-18,2026-05-18,10735960,Active
93,5,3,5,2023,2023-01-06,2024-01-06,16106310,Renewed
94,6,6,3,2024,2025-10-24,2026-10-24,9804549,Expired
95,3,9,6,2025,2022-09-10,2023-09-10,11915609,Renewed
96,4,6,4,2023,2022-05-08,2023-05-08,5405016,Expired
97,3,6,7,2023,2024-02-23,2025-02-22,9530901,Renewed
98,5,8,4,2025,2024-04-17,2025-04-17,3323116,Renewed
99,2,1,7,2022,2023-06-15,2024-06-14,1317176,Active
100,5,9,6,2022,2023-09-19,2024-09-18,6081806,Active
101,1,2,6,2024,2023-05-03,2024-05-02,1792641,Active
102,1,2,6,2023,2025-09-08,2026-09-08,2420711,Renewed
103,4,3,1,2025,2024-12-27,2025-12-27,12814464,Renewed
104,2,11,6,2022,2022-05-08,2023-05-08,13516225,Active
105,6,2,6,2023,2024-03-21,2025-03-21,1913508,Renewed
106,1,1,5,2024,2023-09-05,2024-09-04,1971280,Expired
107,1,10,5,2023,2025-08-23,2026-08-23,8648121,Renewed
108,4,2,5,2022,2022-12-18,2023-12-18,1693226,Expired
109,5,4,7,2022,2022-07-21,2023-07-21,11408281,Active
110,6,4,7,2025,2023-01-02,2024-01-02,13599298,Renewed
111,2,12,5,2022,2022-11-21,2023-11-21,4835887,Active
112,3,10,3,2025,2022-05-05,2023-05-05,3826195,Expired
113,4,12,5,2024,2026-01-25,2027-01-25,5613326,Active
114,3,1,7,2024,2022-07-27,2023-07-27,790830,Active
115,2,7,5,2024,2025-06-02,2026-06-02,10849149,Expired
116,2,2,7,2025,2024-10-08,2025-10-08,631548,Expired
117,6,8,2,2024,2025-09-04,2026-09-04,12699752,Active
118,1,3,7,2025,2022-06-20,2023-06-20,7119707,Expired
119,1,11,7,2025,2022-09-25,2023-09-25,5014002,Active
120,1,1,7,2022,2022-08-23,2023-08-23,1807542,Expired
121,3,3,5,2023,2024-07-18,2025-07-18,6935019,Expired
122,6,3,6,2024,2023-09-05,2024-09-04,11571361,Expired
123,2,12,5,2022,2022-11-27,2023-11-27,9711929,Renewed
124,5,6,7,2022,2022-12-30,2023-12-30,2592071,Renewed
125,5,8,5,2023,2025-05-28,2026-05-28,8323742,Expired
126,6,5,7,2022,2023-07-30,2024-07-29,13586843,Expired
127,3,6,7,2023,2023-03-28,2024-03-27,12200363,Expired
128,6,12,2,2024,2024-10-31,2025-10-31,12382676,Renewed
129,6,7,6,2022,2022-08-23,2023-08-23,4193716,Expired
130,5,4,3,2024,2022-07-25,2023-07-25,7117336,Active
131,1,1,2,2022,2022-12-01,2023-12-01,2366298,Renewed
132,2,3,7,2022,2025-07-02,2026-07-02,16097940,Renewed
133,2,2,1,2024,2025-08-12,2026-08-12,1354650,Renewed
134,3,9,7,2023,2022-08-02,2023-08-02,12099435,Renewed
135,4,8,1,2025,2024-03-22,2025-03-22,10407558,Expired
136,4,11,1,2022,2024-11-19,2025-11-19,13124144,Expired
137,1,3,2,2025,2022-06-08,2023-06-08,3565536,Active
138,2,5,6,2025,2025-08-16,2026-08-16,16285240,Expired
139,5,5,7,2024,2026-01-18,2027-01-18,19258899,Expired
140,5,3,4,2022,2023-12-06,2024-12-05,6274380,Renewed
141,5,6,3,2024,2025-05-12,2026-05-12,6197903,Expired
142,2,5,5,2025,2024-12-04,2025-12-04,12220355,Active
143,3,10,6,2023,2024-01-24,2025-01-23,3291736,Renewed
144,2,11,1,2024,2025-01-12,2026-01-12,8264216,Expired
145,3,10,7,2023,2024-12-06,2025-12-06,12700908,Expired
146,5,1,6,2024,2025-12-25,2026-12-25,852317,Expired
147,2,7,2,2024,2024-07-13,2025-07-13,12295043,Expired
148,1,1,6,2025,2026-03-26,2027-03-26,1673126,Expired
149,5,5,2,2024,2025-06-20,2026-06-20,10946856,Active
150,2,6,5,2024,2024-10-02,2025-10-02,3190233,Renewed
151,6,3,7,2022,2022-11-28,2023-11-28,7822388,Active
152,6,7,5,2024,2022-12-09,2023-12-09,9154860,Renewed
153,2,7,7,2022,2025-04-15,2026-04-15,14376187,Expired
154,2,1,7,2022,2025-10-20,2026-10-20,2437470,Expired
155,2,2,3,2025,2022-08-01,2023-08-01,3613758,Active
156,3,10,3,2024,2026-03-07,2027-03-07,9678462,Active
157,6,12,5,2025,2026-02-26,2027-02-26,10312773,Active
158,3,12,1,2025,2023-08-12,2024-08-11,12684468,Expired
159,3,2,4,2024,2024-08-11,2025-08-11,897695,Renewed
160,3,9,5,2024,2022-12-22,2023-12-22,9301487,Renewed
161,5,8,1,2025,2023-11-21,2024-11-20,10763612,Renewed
162,2,4,1,2022,2024-05-23,2025-05-23,6051930,Active
163,5,10,6,2023,2024-11-30,2025-11-30,5790552,Active
164,6,11,5,2022,2026-03-14,2027-03-14,5976881,Renewed
165,1,12,2,2022,2023-06-22,2024-06-21,10519547,Renewed
166,4,12,5,2023,2023-08-10,2024-08-09,6165743,Renewed
167,3,5,7,2024,2024-05-09,2025-05-09,13214481,Renewed
168,5,4,4,2022,2024-11-18,2025-11-18,9069022,Renewed
169,5,7,7,2025,2024-01-27,2025-01-26,7565260,Renewed
170,6,2,2,2024,2022-11-23,2023-11-23,2048770,Expired
171,5,10,1,2025,2022-09-20,2023-09-20,11904992,Expired
172,3,8,3,2023,2025-04-04,2026-04-04,13003785,Active
173,1,4,7,2022,2022-10-23,2023-10-23,6354133,Active
174,6,7,2,2025,2023-02-14,2024-02-14,11347016,Expired
175,5,5,7,2024,2023-04-17,2024-04-16,16137873,Renewed
176,2,12,3,2025,2023-11-24,2024-11-23,8996957,Expired
177,3,11,4,2023,2023-05-04,2024-05-03,12900309,Renewed
178,4,4,5,2025,2025-12-14,2026-12-14,9197800,Renewed
179,6,7,6,2022,2026-03-04,2027-03-04,7707244,Active
180,5,11,6,2024,2022-05-17,2023-05-17,8862432,Active
181,6,2,1,2023,2023-09-30,2024-09-29,1601670,Expired
182,4,6,2,2024,2025-01-04,2026-01-04,2405783,Expired
183,4,8,5,2025,2025-10-04,2026-10-04,4770206,Active
184,2,8,5,2024,2022-07-21,2023-07-21,2108279,Renewed
185,1,1,4,2023,2024-12-27,2025-12-27,2590011,Expired
186,1,11,6,2023,2024-01-18,2025-01-17,12347291,Active
187,3,12,6,2024,2024-07-09,2025-07-09,3054135,Active
188,6,8,2,2024,2022-09-28,2023-09-28,6348317,Active
189,3,6,6,2024,2023-12-10,2024-12-09,5028515,Renewed
190,4,4,6,2025,2024-09-16,2025-09-16,16281392,Renewed
191,1,12,5,2022,2025-12-15,2026-12-15,4559545,Expired
192,3,7,5,2022,2026-01-30,2027-01-30,8135645,Expired
193,1,2,2,2025,2024-02-01,2025-01-31,418095,Active
194,6,2,1,2023,2022-10-27,2023-10-27,637440,Expired
195,3,3,5,2023,2023-08-15,2024-08-14,6443050,Active
196,2,2,6,2022,2025-10-05,2026-10-05,730653,Active
197,2,2,4,2023,2022-07-30,2023-07-30,1403736,Expired
198,4,7,1,2025,2023-03-05,2024-03-04,4980076,Active
199,5,2,3,2025,2022-09-25,2023-09-25,303826,Renewed
200,5,7,3,2025,2024-11-27,2025-11-27,9704971,Active
201,6,4,2,2022,2025-03-26,2026-03-26,13037500,Renewed
202,1,4,4,2022,2023-05-16,2024-05-15,19414363,Active
203,3,12,2,2023,2022-11-25,2023-11-25,3328246,Expired
204,4,2,6,2023,2025-02-01,2026-02-01,1288672,Expired
205,1,11,6,2022,2023-05-22,2024-05-21,7166025,Expired
206,2,5,3,2022,2023-02-27,2024-02-27,10219097,Expired
207,6,9,4,2024,2025-04-16,2026-04-16,3147160,Active
208,6,9,5,2023,2023-02-26,2024-02-26,6659662,Expired
209,3,8,5,2022,2025-07-28,2026-07-28,2370975,Renewed
210,2,8,5,2025,2023-04-29,2024-04-28,4526776,Renewed
211,2,10,1,2025,2024-10-30,2025-10-30,5547991,Renewed
212,5,5,5,2022,2023-11-14,2024-11-13,13315216,Active
213,3,5,2,2022,2025-02-22,2026-02-22,14718261,Active
214,5,9,1,2025,2026-02-21,2027-02-21,12536183,Expired
215,2,7,3,2025,2023-01-26,2024-01-26,3550860,Renewed
216,1,1,4,2024,2023-12-16,2024-12-15,1420174,Active
217,5,12,7,2025,2023-07-16,2024-07-15,13386092,Renewed
218,6,4,1,2025,2025-07-24,2026-07-24,5967517,Renewed
219,6,6,4,2022,2022-06-30,2023-06-30,8248818,Active
220,4,9,6,2025,2023-08-02,2024-08-01,8897369,Renewed
221,3,2,4,2023,2024-09-15,2025-09-15,2003670,Expired
222,4,5,1,2025,2022-08-18,2023-08-18,6078628,Expired
223,6,5,7,2024,2022-09-22,2023-09-22,13479119,Active
224,6,5,5,2025,2022-12-20,2023-12-20,11142641,Active
225,4,7,7,2023,2022-09-27,2023-09-27,2255207,Renewed
226,2,6,4,2024,2026-02-16,2027-02-16,4295147,Renewed
227,3,1,4,2025,2022-08-04,2023-08-04,1145375,Renewed
228,6,6,2,2024,2024-05-08,2025-05-08,12052956,Renewed
229,4,10,2,2024,2023-10-20,2024-10-19,6707741,Renewed
230,3,5,7,2023,2025-04-29,2026-04-29,7415819,Renewed
231,3,11,1,2024,2022-06-19,2023-06-19,9556450,Expired
232,6,12,5,2024,2023-02-27,2024-02-27,9403843,Active
233,5,10,4,2023,2025-05-31,2026-05-31,13316149,Expired
234,6,10,3,2025,2024-05-26,2025-05-26,7886585,Expired
235,4,6,2,2025,2025-08-21,2026-08-21,5000326,Renewed
236,6,2,2,2025,2024-12-19,2025-12-19,1748141,Active
237,6,8,1,2023,2025-07-08,2026-07-08,5552749,Expired
238,5,4,4,2023,2026-01-30,2027-01-30,17051017,Expired
239,4,9,3,2024,2024-10-22,2025-10-22,9946862,Renewed
240,5,10,7,2023,2025-01-10,2026-01-10,11471334,Active
241,3,4,6,2023,2022-10-15,2023-10-15,16863886,Expired
242,1,4,6,2022,2025-07-20,2026-07-20,16819230,Expired
243,2,5,6,2024,2026-04-01,2027-04-01,5793507,Active
244,2,7,5,2022,2025-09-21,2026-09-21,6144030,Expired
245,4,7,1,2025,2024-01-02,2025-01-01,5282969,Expired
246,2,1,2,2024,2024-05-16,2025-05-16,1334087,Active
247,1,6,2,2024,2022-07-23,2023-07-23,5289513,Expired
248,2,5,5,2024,2026-02-07,2027-02-07,5028520,Expired
249,3,2,1,2024,2024-11-30,2025-11-30,2331620,Active
250,1,7,3,2022,2022-08-09,2023-08-09,6279604,Expired
251,5,2,2,2025,2025-01-03,2026-01-03,994308,Expired
252,1,1,6,2022,2024-02-12,2025-02-11,270365,Expired
253,6,3,5,2023,2022-07-17,2023-07-17,8715210,Expired
254,3,11,4,2025,2022-08-14,2023-08-14,14115826,Renewed
255,4,6,6,2025,2024-08-24,2025-08-24,12974636,Expired
256,3,3,7,2022,2023-10-22,2024-10-21,23771616,Renewed
257,3,11,6,2022,2025-07-01,2026-07-01,9684259,Expired
258,3,10,3,2022,2026-03-19,2027-03-19,11522994,Active
259,1,12,5,2025,2025-11-22,2026-11-22,2994725,Active
260,5,3,4,2024,2024-04-25,2025-04-25,21718000,Renewed
261,4,6,7,2025,2025-01-22,2026-01-22,6590446,Expired
262,5,7,7,2025,2023-01-21,2024-01-21,13672670,Active
263,5,7,2,2024,2025-07-23,2026-07-23,14824396,Expired
264,3,12,3,2022,2025-02-05,2026-02-05,3746318,Renewed
265,5,7,3,2025,2024-01-22,2025-01-21,2982127,Active
266,2,2,5,2025,2022-12-23,2023-12-23,1357238,Active
267,2,1,1,2025,2025-07-03,2026-07-03,1058904,Renewed
268,4,2,4,2025,2025-01-29,2026-01-29,979538,Active
269,2,5,2,2022,2024-02-24,2025-02-23,14855363,Active
270,1,4,1,2024,2025-10-02,2026-10-02,11077500,Renewed
271,1,2,3,2024,2023-10-07,2024-10-06,910800,Expired
272,6,11,4,2022,2023-09-29,2024-09-28,7195464,Expired
273,4,9,1,2024,2025-06-04,2026-06-04,2981232,Active
274,1,6,3,2024,2025-08-22,2026-08-22,10631893,Expired
275,4,12,6,2023,2025-08-22,2026-08-22,4921273,Expired
276,6,3,2,2025,2023-06-16,2024-06-15,8715267,Expired
277,3,9,4,2024,2023-12-31,2024-12-30,6445798,Active
278,6,9,7,2025,2023-05-25,2024-05-24,9011953,Renewed
279,6,2,2,2025,2022-10-05,2023-10-05,2170560,Renewed
280,2,8,1,2022,2026-03-27,2027-03-27,13714608,Active
281,1,10,4,2024,2023-12-08,2024-12-07,11265012,Active
282,5,5,2,2024,2026-02-01,2027-02-01,12830404,Renewed
283,2,3,3,2022,2022-07-16,2023-07-16,18124410,Active
284,1,8,4,2025,2025-03-29,2026-03-29,14632362,Active
285,1,8,1,2023,2024-03-24,2025-03-24,7891924,Renewed
286,3,9,2,2022,2023-11-02,2024-11-01,6528952,Renewed
287,2,4,3,2024,2023-02-09,2024-02-09,13836245,Expired
288,5,6,7,2024,2024-01-13,2025-01-12,10407100,Active
289,1,5,4,2025,2026-01-28,2027-01-28,11729838,Expired
290,6,5,1,2023,2024-09-19,2025-09-19,14744143,Expired
291,2,10,6,2023,2023-07-15,2024-07-14,9966647,Renewed
292,4,11,5,2025,2023-10-20,2024-10-19,12653735,Active
293,5,11,6,2022,2023-10-11,2024-10-10,10921102,Renewed
294,5,6,1,2024,2022-04-30,2023-04-30,6053346,Renewed
295,2,3,5,2024,2025-12-21,2026-12-21,23237529,Active
296,5,8,3,2024,2023-08-08,2024-08-07,10203512,Expired
297,6,6,6,2023,2024-08-06,2025-08-06,13289655,Active
298,2,6,6,2025,2023-04-18,2024-04-17,7253132,Active
299,3,7,5,2023,2023-01-06,2024-01-06,12530625,Expired
300,6,8,2,2022,2024-10-23,2025-10-23,7556230,Expired
301,4,8,4,2023,2022-12-13,2023-12-13,3104281,Active
302,1,8,2,2023,2022-05-31,2023-05-31,13827992,Expired
303,3,8,3,2025,2022-12-16,2023-12-16,11050068,Renewed
304,6,4,6,2023,2024-03-30,2025-03-30,19641751,Renewed
305,5,6,4,2025,2023-04-17,2024-04-16,4712531,Active
306,4,10,3,2022,2023-02-07,2024-02-07,9534858,Active
307,4,11,7,2022,2022-09-30,2023-09-30,6726546,Expired
308,1,6,7,2023,2023-07-21,2024-07-20,14214851,Active
309,3,8,2,2022,2022-08-21,2023-08-21,14253234,Expired
310,6,8,4,2025,2023-01-21,2024-01-21,7309915,Active
311,6,4,7,2022,2025-06-04,2026-06-04,18279850,Active
312,2,11,3,2024,2024-08-14,2025-08-14,4499453,Renewed
313,6,3,7,2025,2024-01-18,2025-01-17,13830120,Renewed
314,6,5,6,2024,2023-08-13,2024-08-12,12448250,Expired
315,2,6,2,2023,2023-05-14,2024-05-13,5780474,Active
316,4,3,6,2025,2023-07-12,2024-07-11,2294813,Expired
317,1,7,3,2022,2023-10-27,2024-10-26,8420652,Renewed
318,4,9,7,2022,2024-12-09,2025-12-09,11331693,Active
319,4,6,1,2025,2022-06-15,2023-06-15,2823607,Renewed
320,1,10,2,2024,2023-11-12,2024-11-11,7068810,Expired
321,6,4,5,2022,2023-05-23,2024-05-22,18432140,Renewed
322,5,12,1,2022,2023-11-28,2024-11-27,14526905,Active
323,6,7,1,2024,2025-02-04,2026-02-04,5153733,Expired
324,6,7,6,2023,2026-03-19,2027-03-19,4070613,Renewed
325,5,7,6,2023,2022-04-30,2023-04-30,6546126,Active
326,4,3,5,2025,2022-08-17,2023-08-17,4149420,Active
327,3,6,2,2023,2024-05-08,2025-05-08,3439591,Expired
328,2,3,1,2024,2022-08-24,2023-08-24,15153272,Active
329,5,8,6,2024,2026-02-12,2027-02-12,11963289,Expired
330,4,12,4,2023,2024-10-21,2025-10-21,12815152,Expired
331,2,8,7,2024,2026-03-30,2027-03-30,10682066,Expired
332,5,9,5,2025,2024-04-15,2025-04-15,7329528,Expired
333,4,4,4,2023,2024-09-23,2025-09-23,15604774,Expired
334,5,8,4,2024,2023-01-30,2024-01-30,13056945,Active
335,3,7,1,2023,2025-02-16,2026-02-16,8126998,Expired
336,5,11,7,2024,2022-10-29,2023-10-29,4459728,Expired
337,5,9,7,2025,2024-04-04,2025-04-04,3177301,Renewed
338,2,10,3,2025,2023-01-31,2024-01-31,3999884,Renewed
339,4,4,4,2024,2025-02-09,2026-02-09,7678703,Active
340,6,2,5,2022,2025-02-09,2026-02-09,456146,Expired
341,6,3,7,2022,2025-03-02,2026-03-02,10884918,Renewed
342,4,1,7,2023,2023-04-06,2024-04-05,394965,Renewed
343,3,11,7,2024,2022-12-02,2023-12-02,10901099,Renewed
344,6,11,3,2023,2026-04-20,2027-04-20,14341695,Active
345,1,12,1,2024,2023-03-16,2024-03-15,13230150,Active
346,1,9,7,2023,2024-11-17,2025-11-17,9513650,Renewed
347,1,1,6,2022,2023-09-27,2024-09-26,1524680,Expired
348,3,9,3,2025,2023-07-22,2024-07-21,8850798,Expired
349,2,11,1,2023,2023-12-09,2024-12-08,11132258,Expired
350,1,6,6,2024,2024-10-07,2025-10-07,8194018,Expired
351,6,1,7,2022,2025-10-26,2026-10-26,1204448,Renewed
352,1,2,1,2024,2025-01-25,2026-01-25,1231520,Expired
353,4,8,2,2025,2025-09-16,2026-09-16,6543737,Renewed
354,5,5,5,2023,2025-03-08,2026-03-08,12169231,Expired
355,4,2,5,2022,2024-10-30,2025-10-30,1199958,Expired
356,2,6,4,2025,2024-08-19,2025-08-19,10506023,Active
357,1,3,1,2023,2022-12-23,2023-12-23,14365513,Expired
358,2,10,7,2022,2025-07-09,2026-07-09,10100342,Expired
359,1,5,7,2025,2022-08-22,2023-08-22,18255386,Active
360,5,8,4,2025,2022-06-10,2023-06-10,2542676,Renewed
361,6,5,3,2022,2025-04-30,2026-04-30,9775381,Renewed
362,5,8,7,2024,2024-03-07,2025-03-07,14837639,Active
363,1,2,6,2023,2025-05-13,2026-05-13,777920,Expired
364,1,12,4,2025,2024-12-15,2025-12-15,8739654,Renewed
365,1,4,1,2025,2023-07-21,2024-07-20,8091092,Expired
366,2,6,4,2024,2022-09-02,2023-09-02,12218636,Active
367,4,11,3,2025,2024-02-20,2025-02-19,11732012,Renewed
368,2,5,6,2025,2026-01-23,2027-01-23,17110318,Expired
369,3,4,4,2025,2024-10-18,2025-10-18,15881449,Renewed
370,3,5,1,2022,2022-12-08,2023-12-08,15869212,Active
371,3,2,7,2024,2025-07-27,2026-07-27,1444983,Active
372,4,3,2,2024,2024-04-30,2025-04-30,15197000,Expired
373,2,12,4,2022,2023-10-31,2024-10-30,4823742,Renewed
374,1,3,1,2022,2023-05-07,2024-05-06,7544240,Expired
375,1,2,4,2023,2025-02-09,2026-02-09,293550,Active
376,5,5,5,2025,2023-04-02,2024-04-01,16049423,Renewed
377,6,10,3,2025,2024-03-04,2025-03-04,3945908,Expired
378,2,7,7,2022,2025-05-12,2026-05-12,4273782,Expired
379,3,3,6,2023,2023-01-15,2024-01-15,13768657,Active
380,2,6,6,2023,2026-03-19,2027-03-19,6266453,Active
381,3,4,5,2022,2023-11-12,2024-11-11,10207251,Expired
382,1,2,6,2024,2022-08-07,2023-08-07,1153244,Active
383,4,3,4,2024,2022-09-16,2023-09-16,15139980,Expired
384,5,1,6,2024,2024-06-21,2025-06-21,2517751,Renewed
385,1,1,4,2022,2022-06-25,2023-06-25,432089,Expired
386,5,1,2,2022,2023-11-28,2024-11-27,1537221,Renewed
387,4,4,1,2022,2025-04-22,2026-04-22,13861405,Expired
388,1,3,7,2025,2025-08-13,2026-08-13,6303478,Active
389,3,9,6,2023,2026-03-23,2027-03-23,4664262,Renewed
390,3,11,5,2023,2024-10-25,2025-10-25,7270842,Active
391,5,1,6,2024,2025-03-24,2026-03-24,1480688,Expired
392,1,9,1,2025,2026-01-11,2027-01-11,12176222,Renewed
393,1,3,3,2024,2026-04-08,2027-04-08,17993252,Expired
394,3,2,6,2023,2023-06-23,2024-06-22,659244,Active
395,1,3,2,2023,2025-08-07,2026-08-07,8271996,Active
396,4,12,5,2022,2025-01-01,2026-01-01,7756752,Active
397,3,5,6,2022,2025-08-20,2026-08-20,16281518,Renewed
398,4,6,5,2023,2024-02-24,2025-02-23,6034288,Renewed
399,2,2,4,2023,2023-09-01,2024-08-31,852036,Expired
400,4,12,5,2022,2024-12-01,2025-12-01,8820674,Expired
401,4,2,2,2023,2025-07-24,2026-07-24,1847094,Expired
402,4,5,1,2023,2023-11-02,2024-11-01,19993395,Active
403,2,10,2,2022,2025-10-06,2026-10-06,10702546,Active
404,3,8,5,2024,2022-12-21,2023-12-21,7034320,Renewed
405,5,7,2,2024,2022-06-17,2023-06-17,3831445,Active
406,5,8,2,2023,2024-09-04,2025-09-04,13099212,Active
407,6,6,1,2024,2022-09-21,2023-09-21,9295668,Active
408,4,8,5,2024,2023-04-23,2024-04-22,5046123,Renewed
409,6,11,6,2024,2025-12-26,2026-12-26,14335259,Active
410,3,2,3,2022,2023-10-15,2024-10-14,627669,Active
411,1,5,1,2025,2024-11-25,2025-11-25,13276847,Renewed
412,4,10,2,2022,2025-11-17,2026-11-17,14133075,Active
413,6,11,7,2025,2022-10-11,2023-10-11,3714878,Renewed
414,3,4,7,2024,2022-08-04,2023-08-04,9183710,Renewed
415,1,9,5,2024,2022-05-30,2023-05-30,12536159,Expired
416,3,11,5,2022,2022-08-22,2023-08-22,3008452,Active
417,2,1,1,2023,2026-03-18,2027-03-18,1636776,Renewed
418,3,3,5,2022,2025-10-08,2026-10-08,11864235,Expired
419,5,10,4,2022,2024-10-15,2025-10-15,6762749,Renewed
420,2,3,6,2022,2025-09-22,2026-09-22,7077037,Expired
421,5,6,3,2022,2023-08-11,2024-08-10,14529006,Expired
422,5,11,1,2024,2022-07-18,2023-07-18,2499153,Expired
